Naturalization,Category,Var,pvalue,Mean,Sd,Median,Q1,Q3,Min,Max,SE,n
No,Biological,Chla_ugL,0.02955539391680521,2.85,4.888864898931039,0.5,0.3,2.8,0.1,20.8,0.9587852891910841,26
No,Biological,Perc_SubsurfaceCover,1.0343302147345854e-5,0.3942307692307692,1.9592001900304585,0.01,0.01,0.01,0.01,10,0.38423076923076926,26
No,Biological,Perc_SurfaceCover,0.9616852772833191,6.927307692307692,9.385784381794547,5,0.01,10,0.01,40,1.8407037581978767,26
No,Biological,Pheo_ugL,0.32496281507896374,1.0571428571428572,1.7288120802421554,0.6,0.4,0.875,0.2,7,0.4620444635987203,14
No,Chemical,Ca_ppm,0.020118811792462655,164.46153846153845,140.74636216093992,80.5,53.25,257.5,34,528,27.602632581762688,26
No,Chemical,Cl_mgL,0.0027666265973433474,544.5769230769231,697.4188510831592,275.5,164,632.75,78,3361,136.7750896469419,26
No,Chemical,Conductivity_uScm,0.0030155017181403743,2639.3846153846152,2201.969556136925,1910,1183.25,3182.5,927,10570,431.8417590415163,26
No,Chemical,DOC_mgL,7.440682638835455e-7,37.597307692307695,36.424243306643156,23.325000000000003,8.21,56.945,2.48,123.65,7.143381822631725,26
No,Chemical,DO_mgL,0.4060432933045628,11.362307692307692,2.64119564999234,11.735,9.7425,12.385,5.08,17.74,0.5179810830202817,26
No,Chemical,DO_perc,0.42797405221311546,121.7,28.940103662564862,115.85,109.125,135.85,47.9,201,5.675621280800626,26
No,Chemical,Fe_ppb,0.49449957823421786,32.7,74.27589784041658,7.9,6,14.3,0.7,262.3,16.20832972211981,21
No,Chemical,K_ppm,0.5575705076043203,14.96,12.677013318075621,11,6,16,4,54,2.535402663615124,25
No,Chemical,Mg_ppm,0.29283856284979054,46.36,33.10448106626453,52,15,71,4,101,6.620896213252907,25
No,Chemical,Mn_ppb,0.060671124949797865,22.276923076923076,62.7503836335193,2.65,0.8500000000000001,9.475000000000001,0.2,313.3,12.306362716644163,26
No,Chemical,NO3_mgL,0.016965159878181497,69.47894736842105,55.929942079825466,78.2,4.6,117.85,0.2,153.3,12.831208707581172,19
No,Chemical,Na_ppm,0.0033560448463442302,289.5,353.96115606094406,174.5,137,265.5,105,1827,69.41749391571595,26
No,Chemical,SO4_mgL,0.14647018142909454,199.28846153846155,150.8682453717099,217.9,41.675,338.2,15.8,399.7,29.587697197378965,26
No,Chemical,S_ppm,0.14545260470533697,84.48,59.39635230101817,88,23,134,4,164,11.879270460203633,25
